participant_id,gender,age_group,prior_phishing_experience,session_id,session_date,scenario_id,sms_order,sms_id,sms_type,phishing_indicators,user_action,detected_phishing,is_correct,decision_time_ms,phone_raise_time_ms,sms_read_time_ms,grab_count,behavioral_profile,risk_score,timestamp
P001,F,26-35,yes,SES001,2026-06-09,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,14583,866,7371,1,Cautious,0.08,2026-06-09T09:00:28
P001,F,26-35,yes,SES001,2026-06-09,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,12303,1015,7630,1,Cautious,0.08,2026-06-09T09:00:56
P002,M,18-25,no,SES002,2026-06-09,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,7090,928,3911,1,Intermediate,0.45,2026-06-09T10:00:28
P002,M,18-25,no,SES002,2026-06-09,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,5972,2199,3541,2,Intermediate,0.45,2026-06-09T10:00:56
P003,M,18-25,no,SES003,2026-06-09,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,2694,1872,1275,2,Impulsive,0.88,2026-06-09T11:00:28
P003,M,18-25,no,SES003,2026-06-09,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,1635,1061,1143,1,Impulsive,0.88,2026-06-09T11:00:56
P004,F,36-45,yes,SES004,2026-06-09,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,16644,1285,7764,2,Cautious,0.07,2026-06-09T12:00:28
P004,F,36-45,yes,SES004,2026-06-09,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,9609,1204,6421,2,Cautious,0.07,2026-06-09T12:00:56
P005,M,26-35,no,SES005,2026-06-09,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,4497,2034,2888,1,Intermediate,0.22,2026-06-09T13:00:28
P005,M,26-35,no,SES005,2026-06-09,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,5762,740,3321,3,Intermediate,0.22,2026-06-09T13:00:56
P006,F,18-25,yes,SES006,2026-06-09,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,5465,1600,2626,1,Intermediate,0.12,2026-06-09T14:00:28
P006,F,18-25,yes,SES006,2026-06-09,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,4671,675,2873,2,Intermediate,0.12,2026-06-09T14:00:56
P007,M,46+,no,SES007,2026-06-10,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,3069,1029,2070,1,Impulsive,0.52,2026-06-10T09:00:28
P007,M,46+,no,SES007,2026-06-10,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,2214,744,1220,1,Impulsive,0.52,2026-06-10T09:00:56
