participant_id,gender,age_group,prior_phishing_experience,session_id,session_date,scenario_id,email_order,email_id,email_type,phishing_indicators,user_action,detected_phishing,is_correct,decision_time_ms,gaze_header_ms,gaze_body_ms,gaze_link_ms,gaze_attachment_ms,gaze_ui_ms,behavioral_profile,risk_score,timestamp
P001,F,26-35,yes,SES001,2026-06-09,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,16487,2967,4948,4616,2308,1648,Cautious,0.08,2026-06-09T09:00:32
P001,F,26-35,yes,SES001,2026-06-09,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,11663,2099,4084,2682,1632,1166,Cautious,0.08,2026-06-09T09:01:04
P001,F,26-35,yes,SES001,2026-06-09,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,14833,2669,4452,4153,2076,1483,Cautious,0.08,2026-06-09T09:01:36
P002,M,18-25,no,SES002,2026-06-09,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,4480,672,1793,896,537,582,Intermediate,0.45,2026-06-09T10:00:32
P002,M,18-25,no,SES002,2026-06-09,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,4610,691,2076,691,553,599,Intermediate,0.45,2026-06-09T10:01:04
P002,M,18-25,no,SES002,2026-06-09,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,4747,712,1900,949,569,617,Intermediate,0.45,2026-06-09T10:01:36
P003,M,18-25,no,SES003,2026-06-09,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,2362,236,1301,188,165,472,Impulsive,0.88,2026-06-09T11:00:32
P003,M,18-25,no,SES003,2026-06-09,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,1471,147,884,44,102,294,Impulsive,0.88,2026-06-09T11:01:04
P003,M,18-25,no,SES003,2026-06-09,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,2491,249,1371,199,174,498,Impulsive,0.88,2026-06-09T11:01:36
P004,F,36-45,yes,SES004,2026-06-09,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,13949,2510,4188,3905,1952,1394,Cautious,0.07,2026-06-09T12:00:32
P004,F,36-45,yes,SES004,2026-06-09,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,12131,2183,4247,2790,1698,1213,Cautious,0.07,2026-06-09T12:01:04
P004,F,36-45,yes,SES004,2026-06-09,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,14713,2648,4416,4119,2059,1471,Cautious,0.07,2026-06-09T12:01:36
P005,M,26-35,no,SES005,2026-06-09,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,8421,1263,3370,1684,1010,1094,Intermediate,0.22,2026-06-09T13:00:32
P005,M,26-35,no,SES005,2026-06-09,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,6697,1004,3016,1004,803,870,Intermediate,0.22,2026-06-09T13:01:04
P005,M,26-35,no,SES005,2026-06-09,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,5717,857,2288,1143,686,743,Intermediate,0.22,2026-06-09T13:01:36
P006,F,18-25,yes,SES006,2026-06-09,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,7269,1090,2910,1453,872,944,Intermediate,0.12,2026-06-09T14:00:32
P006,F,18-25,yes,SES006,2026-06-09,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,7129,1069,3210,1069,855,926,Intermediate,0.12,2026-06-09T14:01:04
P006,F,18-25,yes,SES006,2026-06-09,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,6461,969,2586,1292,775,839,Intermediate,0.12,2026-06-09T14:01:36
P007,M,46+,no,SES007,2026-06-10,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,1968,196,1085,157,137,393,Impulsive,0.52,2026-06-10T09:00:32
P007,M,46+,no,SES007,2026-06-10,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,1574,157,946,47,110,314,Impulsive,0.52,2026-06-10T09:01:04
P007,M,46+,no,SES007,2026-06-10,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,2160,216,1189,172,151,432,Impulsive,0.52,2026-06-10T09:01:36
P008,F,26-35,no,SES008,2026-06-10,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,17557,3160,5270,4915,2457,1755,Cautious,0.09,2026-06-10T10:00:32
P008,F,26-35,no,SES008,2026-06-10,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,10188,1833,3568,2343,1426,1018,Cautious,0.09,2026-06-10T10:01:04
P008,F,26-35,no,SES008,2026-06-10,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,17074,3073,5124,4780,2390,1707,Cautious,0.09,2026-06-10T10:01:36
P009,M,36-45,yes,SES009,2026-06-10,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,7646,1146,3061,1529,917,993,Intermediate,0.11,2026-06-10T11:00:32
P009,M,36-45,yes,SES009,2026-06-10,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,3967,595,1786,595,476,515,Intermediate,0.11,2026-06-10T11:01:04
P009,M,36-45,yes,SES009,2026-06-10,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,5160,774,2065,1032,619,670,Intermediate,0.11,2026-06-10T11:01:36
P010,F,18-25,no,SES010,2026-06-10,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,7992,1198,3199,1598,959,1038,Intermediate,0.48,2026-06-10T12:00:32
P010,F,18-25,no,SES010,2026-06-10,scenario_1,2,email_legit_01,legitimate,None,Report,true,false,6789,1018,3057,1018,814,882,Intermediate,0.48,2026-06-10T12:01:04
P010,F,18-25,no,SES010,2026-06-10,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,5371,805,2150,1074,644,698,Intermediate,0.48,2026-06-10T12:01:36
P011,M,26-35,no,SES011,2026-06-10,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,3254,325,1792,260,227,650,Impulsive,0.55,2026-06-10T13:00:32
P011,M,26-35,no,SES011,2026-06-10,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,2127,212,1279,63,148,425,Impulsive,0.55,2026-06-10T13:01:04
P011,M,26-35,no,SES011,2026-06-10,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,2389,238,1316,191,167,477,Impulsive,0.55,2026-06-10T13:01:36
P012,F,36-45,yes,SES012,2026-06-10,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,11252,2025,3377,3150,1575,1125,Cautious,0.07,2026-06-10T14:00:32
P012,F,36-45,yes,SES012,2026-06-10,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,13452,2421,4710,3093,1883,1345,Cautious,0.07,2026-06-10T14:01:04
P012,F,36-45,yes,SES012,2026-06-10,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,17421,3135,5229,4877,2438,1742,Cautious,0.07,2026-06-10T14:01:36
P013,M,18-25,no,SES013,2026-06-11,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,5186,777,2076,1037,622,674,Intermediate,0.47,2026-06-11T09:00:32
P013,M,18-25,no,SES013,2026-06-11,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,7347,1102,3307,1102,881,955,Intermediate,0.47,2026-06-11T09:01:04
P013,M,18-25,no,SES013,2026-06-11,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,6100,915,2440,1220,732,793,Intermediate,0.47,2026-06-11T09:01:36
P014,F,46+,yes,SES014,2026-06-11,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,6089,913,2438,1217,730,791,Intermediate,0.13,2026-06-11T10:00:32
P014,F,46+,yes,SES014,2026-06-11,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,4513,676,2034,676,541,586,Intermediate,0.13,2026-06-11T10:01:04
P014,F,46+,yes,SES014,2026-06-11,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,4222,633,1691,844,506,548,Intermediate,0.13,2026-06-11T10:01:36
P015,M,18-25,no,SES015,2026-06-11,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,1990,199,1095,159,139,398,Impulsive,0.92,2026-06-11T11:00:32
P015,M,18-25,no,SES015,2026-06-11,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,1938,193,1165,58,135,387,Impulsive,0.92,2026-06-11T11:01:04
P015,M,18-25,no,SES015,2026-06-11,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,3493,349,1923,279,244,698,Impulsive,0.92,2026-06-11T11:01:36
P016,F,26-35,yes,SES016,2026-06-11,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,13465,2423,4041,3770,1885,1346,Cautious,0.06,2026-06-11T12:00:32
P016,F,26-35,yes,SES016,2026-06-11,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,15504,2790,5429,3565,2170,1550,Cautious,0.06,2026-06-11T12:01:04
P016,F,26-35,yes,SES016,2026-06-11,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,16886,3039,5067,4728,2364,1688,Cautious,0.06,2026-06-11T12:01:36
