participant_id,gender,age_group,prior_phishing_experience,session_id,session_date,scenario_id,scenario_name,stimulus_order,stimulus_id,stimulus_type,phishing_indicators,user_action,detected_phishing,is_correct,decision_time_ms,behavioral_profile,risk_score,timestamp
P001,F,26-35,yes,SES001,2026-06-09,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,16487,Cautious,0.08,2026-06-09T09:00:32
P001,F,26-35,yes,SES001,2026-06-09,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,11663,Cautious,0.08,2026-06-09T09:01:04
P001,F,26-35,yes,SES001,2026-06-09,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,14833,Cautious,0.08,2026-06-09T09:01:36
P001,F,26-35,yes,SES001,2026-06-09,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,11240,Cautious,0.08,2026-06-09T09:00:00
P001,F,26-35,yes,SES001,2026-06-09,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,9870,Cautious,0.08,2026-06-09T09:00:31
P001,F,26-35,yes,SES001,2026-06-09,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,14320,Cautious,0.08,2026-06-09T09:01:01
P001,F,26-35,yes,SES001,2026-06-09,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,14583,Cautious,0.08,2026-06-09T09:00:28
P001,F,26-35,yes,SES001,2026-06-09,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,12303,Cautious,0.08,2026-06-09T09:00:56
P002,M,18-25,no,SES002,2026-06-09,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,4480,Intermediate,0.45,2026-06-09T10:00:32
P002,M,18-25,no,SES002,2026-06-09,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,4610,Intermediate,0.45,2026-06-09T10:01:04
P002,M,18-25,no,SES002,2026-06-09,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,4747,Intermediate,0.45,2026-06-09T10:01:36
P002,M,18-25,no,SES002,2026-06-09,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,5680,Intermediate,0.45,2026-06-09T10:00:00
P002,M,18-25,no,SES002,2026-06-09,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,4210,Intermediate,0.45,2026-06-09T10:00:25
P002,M,18-25,no,SES002,2026-06-09,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,3890,Intermediate,0.45,2026-06-09T10:00:49
P002,M,18-25,no,SES002,2026-06-09,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,7090,Intermediate,0.45,2026-06-09T10:00:28
P002,M,18-25,no,SES002,2026-06-09,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,5972,Intermediate,0.45,2026-06-09T10:00:56
P003,M,18-25,no,SES003,2026-06-09,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,2362,Impulsive,0.88,2026-06-09T11:00:32
P003,M,18-25,no,SES003,2026-06-09,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,1471,Impulsive,0.88,2026-06-09T11:01:04
P003,M,18-25,no,SES003,2026-06-09,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,2491,Impulsive,0.88,2026-06-09T11:01:36
P003,M,18-25,no,SES003,2026-06-09,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,EnterCredentials,false,false,1840,Impulsive,0.88,2026-06-09T11:00:00
