participant_id,gender,age_group,prior_phishing_experience,session_id,session_date,scenario_id,site_order,site_id,site_type,phishing_indicators,user_action,detected_phishing,is_correct,decision_time_ms,behavioral_profile,risk_score,timestamp
P001,F,26-35,yes,SES001,2026-06-09,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,11240,Cautious,0.08,2026-06-09T09:00:00
P001,F,26-35,yes,SES001,2026-06-09,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,9870,Cautious,0.08,2026-06-09T09:00:31
P001,F,26-35,yes,SES001,2026-06-09,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,14320,Cautious,0.08,2026-06-09T09:01:01
P002,M,18-25,no,SES002,2026-06-09,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,5680,Intermediate,0.45,2026-06-09T10:00:00
P002,M,18-25,no,SES002,2026-06-09,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,4210,Intermediate,0.45,2026-06-09T10:00:25
P002,M,18-25,no,SES002,2026-06-09,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,3890,Intermediate,0.45,2026-06-09T10:00:49
P003,M,18-25,no,SES003,2026-06-09,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,EnterCredentials,false,false,1840,Impulsive,0.88,2026-06-09T11:00:00
P003,M,18-25,no,SES003,2026-06-09,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,1230,Impulsive,0.88,2026-06-09T11:00:21
P003,M,18-25,no,SES003,2026-06-09,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,1560,Impulsive,0.88,2026-06-09T11:00:43
P004,F,36-45,yes,SES004,2026-06-09,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,15670,Cautious,0.07,2026-06-09T13:00:00
P004,F,36-45,yes,SES004,2026-06-09,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,12340,Cautious,0.07,2026-06-09T13:00:35
P004,F,36-45,yes,SES004,2026-06-09,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,18920,Cautious,0.07,2026-06-09T13:01:08
P005,M,26-35,no,SES005,2026-06-09,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,6340,Intermediate,0.22,2026-06-09T14:00:00
P005,M,26-35,no,SES005,2026-06-09,scenario_2,2,site_legit_01,legitimate,None,Report,false,false,5120,Intermediate,0.22,2026-06-09T14:00:26
P005,M,26-35,no,SES005,2026-06-09,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,7890,Intermediate,0.22,2026-06-09T14:00:51
P006,F,18-25,yes,SES006,2026-06-09,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,4230,Intermediate,0.12,2026-06-09T15:00:00
P006,F,18-25,yes,SES006,2026-06-09,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,3870,Intermediate,0.12,2026-06-09T15:00:24
P006,F,18-25,yes,SES006,2026-06-09,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,5640,Intermediate,0.12,2026-06-09T15:00:48
P007,M,46+,no,SES007,2026-06-10,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,2890,Impulsive,0.52,2026-06-10T09:00:00
P007,M,46+,no,SES007,2026-06-10,scenario_2,2,site_legit_01,legitimate,None,Report,false,false,1980,Impulsive,0.52,2026-06-10T09:00:22
P007,M,46+,no,SES007,2026-06-10,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,2340,Impulsive,0.52,2026-06-10T09:00:44
P008,F,26-35,no,SES008,2026-06-10,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,13450,Cautious,0.09,2026-06-10T10:00:00
P008,F,26-35,no,SES008,2026-06-10,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,11230,Cautious,0.09,2026-06-10T10:00:33
P008,F,26-35,no,SES008,2026-06-10,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,16780,Cautious,0.09,2026-06-10T10:01:04
P009,M,36-45,yes,SES009,2026-06-10,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,4980,Intermediate,0.11,2026-06-10T11:00:00
P009,M,36-45,yes,SES009,2026-06-10,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,4120,Intermediate,0.11,2026-06-10T11:00:24
P009,M,36-45,yes,SES009,2026-06-10,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,6350,Intermediate,0.11,2026-06-10T11:00:49
P010,F,18-25,no,SES010,2026-06-10,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,7230,Intermediate,0.48,2026-06-10T13:00:00
P010,F,18-25,no,SES010,2026-06-10,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,5890,Intermediate,0.48,2026-06-10T13:00:27
P010,F,18-25,no,SES010,2026-06-10,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,6710,Intermediate,0.48,2026-06-10T13:00:53
P011,M,26-35,no,SES011,2026-06-10,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,2560,Impulsive,0.55,2026-06-10T14:00:00
P011,M,26-35,no,SES011,2026-06-10,scenario_2,2,site_legit_01,legitimate,None,Report,false,false,1780,Impulsive,0.55,2026-06-10T14:00:22
P011,M,26-35,no,SES011,2026-06-10,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,2890,Impulsive,0.55,2026-06-10T14:00:44
P012,F,36-45,yes,SES012,2026-06-10,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,12890,Cautious,0.07,2026-06-10T15:00:00
P012,F,36-45,yes,SES012,2026-06-10,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,10560,Cautious,0.07,2026-06-10T15:00:32
P012,F,36-45,yes,SES012,2026-06-10,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,15340,Cautious,0.07,2026-06-10T15:01:03
P013,M,18-25,no,SES013,2026-06-11,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,5430,Intermediate,0.47,2026-06-11T09:00:00
P013,M,18-25,no,SES013,2026-06-11,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,4780,Intermediate,0.47,2026-06-11T09:00:25
P013,M,18-25,no,SES013,2026-06-11,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,5120,Intermediate,0.47,2026-06-11T09:00:50
P014,F,46+,yes,SES014,2026-06-11,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,8120,Intermediate,0.13,2026-06-11T10:00:00
P014,F,46+,yes,SES014,2026-06-11,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,6870,Intermediate,0.13,2026-06-11T10:00:28
P014,F,46+,yes,SES014,2026-06-11,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,9340,Intermediate,0.13,2026-06-11T10:00:54
P015,M,18-25,no,SES015,2026-06-11,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,EnterCredentials,false,false,1560,Impulsive,0.92,2026-06-11T11:00:00
P015,M,18-25,no,SES015,2026-06-11,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,1230,Impulsive,0.92,2026-06-11T11:00:21
P015,M,18-25,no,SES015,2026-06-11,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,1780,Impulsive,0.92,2026-06-11T11:00:42
P016,F,26-35,yes,SES016,2026-06-11,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,14230,Cautious,0.06,2026-06-11T13:00:00
P016,F,26-35,yes,SES016,2026-06-11,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,11890,Cautious,0.06,2026-06-11T13:00:34
P016,F,26-35,yes,SES016,2026-06-11,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,17560,Cautious,0.06,2026-06-11T13:01:06
P017,M,36-45,no,SES017,2026-06-11,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,6890,Intermediate,0.49,2026-06-11T14:00:00
P017,M,36-45,no,SES017,2026-06-11,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,5430,Intermediate,0.49,2026-06-11T14:00:26
P017,M,36-45,no,SES017,2026-06-11,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,6120,Intermediate,0.49,2026-06-11T14:00:52
P018,F,26-35,no,SES018,2026-06-11,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,5670,Intermediate,0.22,2026-06-11T15:00:00
P018,F,26-35,no,SES018,2026-06-11,scenario_2,2,site_legit_01,legitimate,None,Report,false,false,4890,Intermediate,0.22,2026-06-11T15:00:25
P018,F,26-35,no,SES018,2026-06-11,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,6340,Intermediate,0.22,2026-06-11T15:00:50
P019,M,18-25,no,SES019,2026-06-12,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,3120,Impulsive,0.58,2026-06-12T09:00:00
P019,M,18-25,no,SES019,2026-06-12,scenario_2,2,site_legit_01,legitimate,None,Report,false,false,2340,Impulsive,0.58,2026-06-12T09:00:23
P019,M,18-25,no,SES019,2026-06-12,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,2890,Impulsive,0.58,2026-06-12T09:00:45
P020,F,46+,yes,SES020,2026-06-12,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,16780,Cautious,0.05,2026-06-12T10:00:00
P020,F,46+,yes,SES020,2026-06-12,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,13450,Cautious,0.05,2026-06-12T10:00:36
P020,F,46+,yes,SES020,2026-06-12,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,19230,Cautious,0.05,2026-06-12T10:01:10
P021,M,26-35,yes,SES021,2026-06-12,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,4560,Intermediate,0.14,2026-06-12T11:00:00
P021,M,26-35,yes,SES021,2026-06-12,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,3890,Intermediate,0.14,2026-06-12T11:00:24
P021,M,26-35,yes,SES021,2026-06-12,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,5780,Intermediate,0.14,2026-06-12T11:00:48
P022,F,18-25,no,SES022,2026-06-12,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,7890,Intermediate,0.46,2026-06-12T13:00:00
P022,F,18-25,no,SES022,2026-06-12,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,6230,Intermediate,0.46,2026-06-12T13:00:27
P022,F,18-25,no,SES022,2026-06-12,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,7120,Intermediate,0.46,2026-06-12T13:00:54
P023,M,36-45,no,SES023,2026-06-12,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,EnterCredentials,false,false,2120,Impulsive,0.89,2026-06-12T14:00:00
P023,M,36-45,no,SES023,2026-06-12,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,1670,Impulsive,0.89,2026-06-12T14:00:22
P023,M,36-45,no,SES023,2026-06-12,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,2450,Impulsive,0.89,2026-06-12T14:00:43
P024,F,26-35,no,SES024,2026-06-12,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,12340,Cautious,0.10,2026-06-12T15:00:00
P024,F,26-35,no,SES024,2026-06-12,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,9870,Cautious,0.10,2026-06-12T15:00:32
P024,F,26-35,no,SES024,2026-06-12,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,14560,Cautious,0.10,2026-06-12T15:01:02
P025,M,18-25,no,SES025,2026-06-13,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,6780,Intermediate,0.51,2026-06-13T09:00:00
P025,M,18-25,no,SES025,2026-06-13,scenario_2,2,site_legit_01,legitimate,None,Report,false,false,5340,Intermediate,0.51,2026-06-13T09:00:26
P025,M,18-25,no,SES025,2026-06-13,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,6890,Intermediate,0.51,2026-06-13T09:00:52
P026,F,26-35,yes,SES026,2026-06-13,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,4120,Intermediate,0.16,2026-06-13T10:00:00
P026,F,26-35,yes,SES026,2026-06-13,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,3670,Intermediate,0.16,2026-06-13T10:00:24
P026,F,26-35,yes,SES026,2026-06-13,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,5230,Intermediate,0.16,2026-06-13T10:00:47
P027,M,46+,no,SES027,2026-06-13,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,3340,Impulsive,0.56,2026-06-13T11:00:00
P027,M,46+,no,SES027,2026-06-13,scenario_2,2,site_legit_01,legitimate,None,Report,false,false,2560,Impulsive,0.56,2026-06-13T11:00:23
P027,M,46+,no,SES027,2026-06-13,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,3120,Impulsive,0.56,2026-06-13T11:00:45
P028,F,18-25,no,SES028,2026-06-13,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,13780,Cautious,0.11,2026-06-13T13:00:00
P028,F,18-25,no,SES028,2026-06-13,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,11230,Cautious,0.11,2026-06-13T13:00:33
P028,F,18-25,no,SES028,2026-06-13,scenario_2,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,16120,Cautious,0.11,2026-06-13T13:01:05
P029,M,36-45,yes,SES029,2026-06-13,scenario_2,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,5230,Intermediate,0.13,2026-06-13T14:00:00
P029,M,36-45,yes,SES029,2026-06-13,scenario_2,2,site_legit_01,legitimate,None,EnterCredentials,false,true,4560,Intermediate,0.13,2026-06-13T14:00:25
